"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2006","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2007","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2008","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2009","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2010","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2011","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2012","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2013","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2014","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2015","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2016","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2017","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2018","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2019","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2020","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2021","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2022","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2023","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2024","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2001","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2002","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2003","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2004","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2005","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2006","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2007","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2008","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2009","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2010","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2011","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2012","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2013","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2014","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2015","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2016","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2017","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2018","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2019","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2020","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2021","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2022","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2023","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2024","Quebec","2021A000224","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365995","6.4.8.1.1","","x","","","1"
"2001","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","8.5","","","","1"
"2002","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","10.0","","","","1"
"2003","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","11.0","","","","1"
"2004","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","11.9","","","","1"
"2005","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","13.4","","","","1"
"2006","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","15.1","","","","1"
"2007","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","13.8","","","","1"
"2008","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","15.2","","","","1"
"2009","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","17.2","","","","1"
"2010","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","17.4","","","","1"
"2011","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.6","","","","1"
"2012","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","17.1","","","","1"
"2013","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","21.7","","","","1"
"2014","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.0","","","","1"
"2015","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","20.8","","","","1"
"2016","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.3","","","","1"
"2017","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.0","","","","1"
"2018","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","15.4","","","","1"
