"2010/2011","Prince Edward Island","2021A000211","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064385590","3.4.4.2.1.1.1","","..","","","0"
"2010/2011","Prince Edward Island","2021A000211","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064386130","3.5.2.2.1.1.1","","..","","","0"
"2010/2011","Prince Edward Island","2021A000211","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064386400","3.5.3.2.1.1.1","","..","","","0"
"2010/2011","Prince Edward Island","2021A000211","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064386670","3.5.4.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064387210","4.1.2.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064387480","4.1.3.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064387750","4.1.4.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064388290","4.2.2.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064388560","4.2.3.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064388830","4.2.4.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064389370","4.3.2.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064389640","4.3.3.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064389910","4.3.4.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064390450","4.4.2.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064390720","4.4.3.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064390990","4.4.4.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064391530","4.5.2.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064391800","4.5.3.2.1.1.1","","..","","","0"
"2010/2011","Nova Scotia","2021A000212","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064392070","4.5.4.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064392610","5.1.2.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064392880","5.1.3.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064393150","5.1.4.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064393690","5.2.2.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064393960","5.2.3.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064394230","5.2.4.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064394770","5.3.2.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064395040","5.3.3.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064395310","5.3.4.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064395850","5.4.2.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064396120","5.4.3.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064396390","5.4.4.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064396930","5.5.2.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064397200","5.5.3.2.1.1.1","","..","","","0"
"2010/2011","New Brunswick","2021A000213","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064397470","5.5.4.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064398010","6.1.2.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064398280","6.1.3.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064398550","6.1.4.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064399090","6.2.2.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064399360","6.2.3.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064399630","6.2.4.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064400170","6.3.2.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064400440","6.3.3.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064400710","6.3.4.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064401250","6.4.2.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064401520","6.4.3.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064401790","6.4.4.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064402330","6.5.2.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064402600","6.5.3.2.1.1.1","","..","","","0"
"2010/2011","Quebec","2021A000224","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064402870","6.5.4.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064403410","7.1.2.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064403680","7.1.3.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064403950","7.1.4.2.1.1.1","","..","","","0"
