"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.4","","","","1"
"2002","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.2","","","","1"
"2003","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","4.5","","","","1"
"2004","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","4.5","","","","1"
"2005","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","4.2","","","","1"
"2006","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.5","","","","1"
"2007","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.6","","","","1"
"2008","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.4","","","","1"
"2009","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","2.9","","","","1"
"2010","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","2.7","","","","1"
"2011","Alberta","2021A000248","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368004","10.3.5.1.1","3.0","","","","1"
