"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","13.8","","","","1"
"2005","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","17.0","","","","1"
"2006","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","18.1","","","","1"
"2007","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","18.6","","","","1"
"2008","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","17.3","","","","1"
"2009","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","16.1","","","","1"
"2010","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","15.7","","","","1"
"2011","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","21.3","","","","1"
"2012","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","22.2","","","","1"
"2013","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","18.3","","","","1"
"2014","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","19.8","","","","1"
"2015","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","21.0","","","","1"
"2016","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","19.7","","","","1"
"2017","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","21.2","","","","1"
"2018","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","23.0","","","","1"
"2019","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","25.9","","","","1"
"2020","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","22.6","","","","1"
"2021","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","22.7","","","","1"
"2022","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","31.5","","","","1"
"2023","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","25.8","","","","1"
"2024","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","24.6","","","","1"
"2001","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","28.9","","","","1"
"2002","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","29.9","","","","1"
"2003","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","31.6","","","","1"
"2004","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","32.1","","","","1"
"2005","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","31.3","","","","1"
"2006","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","28.8","","","","1"
"2007","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","30.4","","","","1"
"2008","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","33.4","","","","1"
"2009","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","35.6","","","","1"
"2010","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","35.1","","","","1"
"2011","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","33.4","","","","1"
"2012","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","27.9","","","","1"
"2013","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","26.7","","","","1"
"2014","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","26.6","","","","1"
"2015","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","26.7","","","","1"
"2016","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","26.3","","","","1"
"2017","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","23.4","","","","1"
"2018","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","25.6","","","","1"
"2019","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","22.4","","","","1"
"2020","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","21.3","","","","1"
"2021","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","27.8","","","","1"
"2022","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","31.1","","","","1"
"2023","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","31.3","","","","1"
"2024","Quebec","2021A000224","Full-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365967","6.3.8.1.1","30.3","","","","1"
"2001","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","127.7","","","","1"
"2002","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","144.4","","","","1"
"2003","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","156.5","","","","1"
"2004","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","152.3","","","","1"
"2005","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","164.8","","","","1"
"2006","Quebec","2021A000224","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365968","6.3.9.1.1","181.9","","","","1"
