"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","10.5","","","","1"
"2006","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","11.0","","","","1"
"2007","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","13.0","","","","1"
"2008","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","12.9","","","","1"
"2009","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","14.4","","","","1"
"2010","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","13.8","","","","1"
"2011","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","13.4","","","","1"
"2012","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","16.1","","","","1"
"2013","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","15.0","","","","1"
"2014","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","14.6","","","","1"
"2015","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","14.7","","","","1"
"2016","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","18.0","","","","1"
"2017","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","14.9","","","","1"
"2018","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","19.1","","","","1"
"2019","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","15.1","","","","1"
