"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","59.0","","","","1"
"2011","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","60.5","","","","1"
"2012","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","62.0","","","","1"
"2013","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","60.8","","","","1"
"2014","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","62.0","","","","1"
"2015","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","62.1","","","","1"
"2016","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","62.0","","","","1"
"2017","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","62.4","","","","1"
"2018","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","60.4","","","","1"
"2019","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","61.5","","","","1"
