"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","856.71","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","856.82","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1019.07","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1005.03","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","973.17","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1109.10","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1074.98","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1100.99","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1129.72","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1167.76","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1129.63","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1122.97","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1147.82","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1298.74","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1298.03","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1379.80","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1485.97","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","1631.60","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","900.70","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","","x","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","955.13","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1006.16","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","978.86","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","968.26","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","996.87","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1009.14","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1030.52","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1044.03","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1106.22","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1153.48","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1178.69","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1245.43","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1324.52","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1385.26","A","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1479.48","A","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1509.42","A","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Finance and insurance [52]","Current dollars","75","units","0","v1741272","4.1.1.267","1546.94","A","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","640.06","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","x","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","648.43","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","622.38","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","653.15","B","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","668.04","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","F","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","760.88","B","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","808.13","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","807.42","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","901.51","B","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","","F","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","882.31","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","941.50","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","986.60","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","1030.58","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","1071.76","C","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","1057.60","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Real estate and rental and leasing [53]","Current dollars","75","units","0","v1544371170","4.1.1.284","1119.35","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","787.78","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","818.15","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","854.32","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","856.94","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","895.49","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","932.78","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","950.87","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","955.94","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","976.64","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1051.85","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1050.82","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1077.18","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1104.31","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1126.52","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1163.55","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1157.53","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1160.21","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1218.33","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1295.94","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1364.78","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1354.34","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1473.47","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1580.20","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Professional, scientific and technical services [54,541]","Current dollars","75","units","0","v1741282","4.1.1.295","1652.06","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","656.42","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","671.72","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","671.93","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","690.05","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","718.14","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","705.51","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","754.61","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","749.50","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","749.74","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","850.38","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","846.34","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","884.16","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","864.16","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","880.00","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","885.59","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","928.48","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","973.23","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","934.75","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","968.45","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","1039.27","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","1057.77","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","1085.38","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","1125.71","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Educational services [61,611]","Current dollars","75","units","0","v1741290","4.1.1.321","1115.00","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","536.68","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","558.67","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","593.80","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","604.07","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","648.36","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","657.15","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","655.73","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","697.33","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","736.54","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","760.84","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","762.67","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","767.30","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","778.03","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","817.44","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","824.44","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","823.78","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","836.19","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","841.69","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","889.20","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","929.87","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","927.40","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","981.86","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","1054.12","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Health care and social assistance [62]","Current dollars","75","units","0","v1741230","4.1.1.331","","F","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","242.49","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","261.28","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","264.07","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","276.94","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","278.07","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","293.29","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","312.67","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","323.33","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","329.58","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","344.12","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","351.94","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","376.60","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","355.59","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","373.60","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","364.19","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","373.30","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","379.47","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","","F","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","386.08","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","397.81","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","420.83","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","427.33","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","469.94","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Accommodation and food services [72]","Current dollars","75","units","0","v1741244","4.1.1.367","495.44","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","725.49","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","768.43","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","811.70","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","830.19","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","865.33","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","891.34","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","937.59","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","976.79","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","993.08","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1015.09","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1030.85","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1061.46","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1074.15","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1085.07","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1095.38","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1104.16","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1126.51","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1155.59","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1171.89","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Public administration [91]","Current dollars","75","units","0","v1741260","4.1.1.393","1229.63","B","","","2"
