"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
