"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","24.9","","","","1"
"2009","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","24.8","","","","1"
"2010","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","28.6","","","","1"
"2011","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","30.0","","","","1"
"2012","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","26.3","","","","1"
"2013","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","27.8","","","","1"
"2014","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","27.7","","","","1"
"2015","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","23.0","","","","1"
"2016","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","23.1","","","","1"
"2017","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","23.6","","","","1"
"2018","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","23.7","","","","1"
