"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","34.2","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","39.5","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","44.7","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","45.9","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","41.6","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","44.6","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","43.2","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","48.5","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","44.0","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","41.5","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","44.7","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","47.7","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","54.6","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","59.0","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","51.8","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","55.5","","","","1"
"2022","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","59.0","","","","1"
"2023","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","59.6","","","","1"
"2024","Ontario","2021A000235","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366512","7.4.17.1.1","57.4","","","","1"
"2001","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","65.6","","","","1"
"2002","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","78.0","","","","1"
"2003","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","80.5","","","","1"
"2004","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","79.8","","","","1"
"2005","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","77.0","","","","1"
