"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2014","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2015","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2016","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2017","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2018","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2019","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2020","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2021","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2022","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2023","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2024","Saskatchewan","2021A000247","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367525","9.4.8.1.1","","x","","","1"
"2001","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","1.7","","","","1"
"2002","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.2","","","","1"
"2003","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","1.2","","","","1"
"2004","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","1.7","","","","1"
"2005","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.1","","","","1"
"2006","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.5","","","","1"
"2007","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.4","","","","1"
"2008","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.1","","","","1"
"2009","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.7","","","","1"
"2010","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.5","","","","1"
"2011","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.1","","","","1"
"2012","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","2.7","","","","1"
"2013","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.9","","","","1"
"2014","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.3","","","","1"
"2015","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.8","","","","1"
"2016","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.1","","","","1"
"2017","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","4.1","","","","1"
"2018","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","4.0","","","","1"
"2019","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.6","","","","1"
"2020","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.4","","","","1"
"2021","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.5","","","","1"
"2022","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.7","","","","1"
"2023","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.0","","","","1"
"2024","Saskatchewan","2021A000247","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367526","9.4.9.1.1","3.1","","","","1"
"2001","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.1","","","","1"
"2002","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.0","","","","1"
"2003","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.0","","","","1"
"2004","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.4","","","","1"
"2005","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.2","","","","1"
"2006","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.2","","","","1"
"2007","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.6","","","","1"
"2008","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.2","","","","1"
"2009","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.1","","","","1"
"2010","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.8","","","","1"
"2011","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.3","","","","1"
"2012","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.2","","","","1"
"2013","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.5","","","","1"
"2014","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.1","","","","1"
"2015","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.3","","","","1"
"2016","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.0","","","","1"
"2017","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.3","","","","1"
"2018","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.1","","","","1"
"2019","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.1","","","","1"
"2020","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.7","","","","1"
"2021","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","0.9","","","","1"
"2022","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.3","","","","1"
"2023","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.9","","","","1"
"2024","Saskatchewan","2021A000247","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367527","9.4.10.1.1","1.9","","","","1"
"2001","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","19.0","","","","1"
