"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Prince Edward Island","2021A000211","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364465","3.4.8.1.1","","x","","","1"
"2001","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","","x","","","1"
"2002","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2003","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2004","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2005","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2006","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.5","","","","1"
"2007","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2008","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2009","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.4","","","","1"
"2010","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2011","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.2","","","","1"
"2012","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2013","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2014","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2015","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2016","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2017","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2018","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.4","","","","1"
"2019","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2020","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2021","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.4","","","","1"
"2022","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.4","","","","1"
"2023","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.5","","","","1"
"2024","Prince Edward Island","2021A000211","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364466","3.4.9.1.1","0.3","","","","1"
"2001","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.2","","","","1"
"2002","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.3","","","","1"
"2003","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.2","","","","1"
"2004","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.3","","","","1"
"2005","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.2","","","","1"
"2006","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.3","","","","1"
"2007","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.2","","","","1"
"2008","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.2","","","","1"
"2009","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.3","","","","1"
"2010","Prince Edward Island","2021A000211","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364467","3.4.10.1.1","0.3","","","","1"
